#PKey;dev_eui;received_at;RecdAtUnix;f_cnt;f_port;PayloadHex;spreading_factor;frequency;consumed_airtime;RSSI;SNR;humidity;loudness;lux;pressure;temperature;uv;voc;voltage;co2;pm10;pm25
233405;70B3D54998CC2DCB;2023-09-11 00:04:21;1694390661;9576;1;2F8A962796728600000000520F560E38009800DD;12;868500;1.810432;111;4;75;41;0;1013.4;21.7;0;293.18;3.926;364;22.1;15.2
233411;70B3D54998CC2DCB;2023-09-11 00:14:19;1694391259;9577;1;2F8397279572EE00000000530F570F6E007A0089;10;868300;0.452608;113;2;75.5;41.5;0;1013.3;21.63;0;294.22;3.927;395;13.7;12.2
233417;70B3D54998CC2DCB;2023-09-11 00:24:19;1694391859;9578;1;2F7C952794702300000000540F560E2E0058012B;10;868300;0.452608;113;4;74.5;42;0;1013.2;21.56;0;287.07;3.926;363;29.9;8.8
233423;70B3D54998CC2DCB;2023-09-11 00:34:20;1694392460;9579;1;2F7395279467D700000000520F56100400820091;12;868300;1.810432;105;13;74.5;41;0;1013.2;21.47;0;265.83;3.926;410;14.5;13
233429;70B3D54998CC2DCB;2023-09-11 00:44:18;1694393058;9580;1;2F6C9B2792718400000000540F550DE800D20102;10;868100;0.452608;118;4;77.5;42;0;1013;21.4;0;290.6;3.925;356;25.8;21
233434;70B3D54998CC2DCB;2023-09-11 00:54:18;1694393658;9581;1;2F69992792741100000000530F540D1600E200FC;10;868100;0.452608;118;11;76.5;41.5;0;1013;21.37;0;297.13;3.924;335;25.2;22.6
233440;70B3D54998CC2DCB;2023-09-11 01:04:19;1694394259;9582;1;2F649A2791708700000000530F560DA200D700F0;12;868500;1.810432;119;18;77;41.5;0;1012.9;21.32;0;288.07;3.926;349;24;21.5
233446;70B3D54998CC2DCB;2023-09-11 01:14:18;1694394858;9583;1;2F5F9827916C1A00000000530F540DE800D0010D;10;868100;0.452608;117;0;76;41.5;0;1012.9;21.27;0;276.74;3.924;356;26.9;20.8
233452;70B3D54998CC2DCB;2023-09-11 01:24:18;1694395458;9584;1;2F59982791689900000000550F550EBA00D90147;10;868500;0.452608;107;6;76;42.5;0;1012.9;21.21;0;267.77;3.925;377;32.7;21.7
233458;70B3D54998CC2DCB;2023-09-11 01:34:19;1694396059;9585;1;2F4D982790644B00000000530F550E2E00F80167;12;868100;1.810432;121;1;76;41.5;0;1012.8;21.09;0;256.75;3.925;363;35.9;24.8
233463;70B3D54998CC2DCB;2023-09-11 01:44:17;1694396657;9586;1;2F439A279068C400000000530F540E7400B300D0;10;868300;0.452608;108;7;77;41.5;0;1012.8;20.99;0;268.2;3.924;370;20.8;17.9
233468;70B3D54998CC2DCB;2023-09-11 01:54:17;1694397257;9587;1;2F3C9A2790690600000000540F530EF600E6010D;10;868500;0.452608;108;6;77;42;0;1012.8;20.92;0;268.86;3.923;383;26.9;23
233474;70B3D54998CC2DCB;2023-09-11 02:04:18;1694397858;9588;1;2F369C27906DA900000000540F540DD400C20101;12;868500;1.810432;115;16;78;42;0;1012.8;20.86;0;280.73;3.924;354;25.7;19.4
233479;70B3D54998CC2DCB;2023-09-11 02:14:17;1694398457;9589;1;2F329B278F76BC00000000550F530F3200DF00F6;10;868100;0.452608;120;14;77.5;42.5;0;1012.7;20.82;0;303.96;3.923;389;24.6;22.3
233485;70B3D54998CC2DCB;2023-09-11 02:24:16;1694399056;9590;1;2F2D9F278E755500000000560F520FE600BD00D3;10;868500;0.452608;117;6;79.5;43;0;1012.6;20.77;0;300.37;3.922;407;21.1;18.9
233491;70B3D54998CC2DCB;2023-09-11 02:34:16;1694399656;9591;1;2F249C278E700A00000000550F520E74009600A8;12;868300;1.810432;117;16;78;42.5;0;1012.6;20.68;0;286.82;3.922;370;16.8;15
233497;70B3D54998CC2DCB;2023-09-11 02:44:14;1694400254;9592;1;2F1A9D278D6B6100000000550F530E2400A800E4;10;868100;0.452608;120;13;78.5;42.5;0;1012.5;20.58;0;274.89;3.923;362;22.8;16.8
233503;70B3D54998CC2DCB;2023-09-11 02:54:14;1694400854;9593;1;2F0D9B278D645F00000000530F520F28009A00AC;10;868500;0.452608;107;5;77.5;41.5;0;1012.5;20.45;0;256.95;3.922;388;17.2;15.4
233509;70B3D54998CC2DCB;2023-09-11 03:04:15;1694401455;9594;1;2F009D278C653C00000000590F520F1400E70120;12;868100;1.810432;120;14;78.5;44.5;0;1012.4;20.32;0;259.16;3.922;386;28.8;23.1
233515;70B3D54998CC2DCB;2023-09-11 03:14:13;1694402053;9595;1;2EF39D278B634A00000000520F520E7400C200FC;10;868100;0.452608;120;13;78.5;41;0;1012.3;20.19;0;254.18;3.922;370;25.2;19.4
233520;70B3D54998CC2DCB;2023-09-11 03:24:13;1694402653;9596;1;2EE59D278A62C200000000540F510EF6009600A8;10;868500;0.452608;109;6;78.5;42;0;1012.2;20.05;0;252.82;3.921;383;16.8;15
233526;70B3D54998CC2DCB;2023-09-11 03:34:13;1694403253;9597;1;2ED99E278965CB00000000530F500F1E00E90221;12;868500;1.810432;111;17;79;41.5;0;1012.1;19.93;0;260.59;3.92;387;54.5;23.3
233532;70B3D54998CC2DCB;2023-09-11 03:44:12;1694403852;9598;1;2ECF9F2788663200000000530F510E9C00BF00F0;10;868500;0.452608;117;6;79.5;41.5;0;1012;19.83;0;261.62;3.921;374;24;19.1
233537;70B3D54998CC2DCB;2023-09-11 03:54:11;1694404451;9599;1;2EC59E2787649B00000000540F500EEC00C100D6;10;868500;0.452608;108;6;79;42;0;1011.9;19.73;0;257.55;3.92;382;21.4;19.3
233543;70B3D54998CC2DCB;2023-09-11 04:04:12;1694405052;9600;1;2EBA9F27875F9D00000000550F4F0FBE006D007A;12;868100;1.810432;121;15;79.5;42.5;0;1011.9;19.62;0;244.77;3.919;403;12.2;10.9
233549;70B3D54998CC2DCB;2023-09-11 04:14:10;1694405650;9601;1;2EB1A12785644B00000000540F500E9C00C601A5;10;868300;0.452608;107;5;80.5;42;0;1011.7;19.53;0;256.75;3.92;374;42.1;19.8
233555;70B3D54998CC2DCB;2023-09-11 04:24:10;1694406250;9602;1;2EA59F27855EC500000000550F4F1054009A00BA;10;868100;0.452608;113;6;79.5;42.5;0;1011.7;19.41;0;242.61;3.919;418;18.6;15.4
233561;70B3D54998CC2DCB;2023-09-11 04:34:11;1694406851;9603;1;2E9CA22786652800000000540F4D0FDC00EA010F;12;868100;1.810432;125;4;81;42;0;1011.8;19.32;0;258.96;3.917;406;27.1;23.4
233567;70B3D54998CC2DCB;2023-09-11 04:44:09;1694407449;9604;1;2E92A2278562D500000000530F500F46009500DD;10;868500;0.452608;109;6;81;41.5;0;1011.7;19.22;0;253.01;3.92;391;22.1;14.9
233573;70B3D54998CC2DCB;2023-09-11 04:54:09;1694408049;9605;1;2E87A22785621500050000530F4C0F3C01270152;10;868500;0.452608;108;5;81;41.5;5;1011.7;19.11;0;251.09;3.916;390;33.8;29.5
233579;70B3D54998CC2DCB;2023-09-11 05:04:10;1694408650;9606;1;2E80A32785628800110000530F49102200B4010C;12;868300;1.810432;115;13;81.5;41.5;17;1011.7;19.04;0;252.24;3.913;413;26.8;18
233584;70B3D54998CC2DCB;2023-09-11 05:14:08;1694409248;9607;1;2E7EA32785602F00370001510F48111C00C20134;10;868100;0.452608;118;10;81.5;40.5;55;1011.7;19.02;1;246.23;3.912;438;30.8;19.4
233589;70B3D54998CC2DCB;2023-09-11 05:24:08;1694409848;9608;1;2E88A32785635E00660002550F3C0F8C008E00A6;10;868500;0.452608;109;5;81.5;42.5;102;1011.7;19.12;2;254.38;3.9;398;16.6;14.2
233595;70B3D54998CC2DCB;2023-09-11 05:34:09;1694410449;9609;1;2EA3A22785638500B60005550DF90F1400A400F9;12;868300;1.810432;119;17;81;42.5;182;1011.7;19.39;5;254.77;3.577;386;24.9;16.4
233600;70B3D54998CC2DCB;2023-09-11 05:44:08;1694411048;9610;1;2ECDA227856757012D0008540DC91018007E0090;10;868100;0.452608;118;9;81;42;301;1011.7;19.81;8;264.55;3.529;412;14.4;12.6
233606;70B3D54998CC2DCB;2023-09-11 05:54:08;1694411648;9611;1;2EFCA02786691C018C000A550DC80EA600D70137;10;868100;0.452608;120;12;80;42.5;396;1011.8;20.28;10;269.08;3.528;375;31.1;21.5
233613;70B3D54998CC2DCB;2023-09-11 06:04:09;1694412249;9612;1;2F329E27876817022E000C540DC20FA0006D00B4;12;868500;1.810432;117;16;79;42;558;1011.9;20.82;12;266.47;3.522;400;18;10.9
233619;70B3D54998CC2DCB;2023-09-11 06:14:07;1694412847;9613;1;2F6F9A2787686E02980011540DBC10B800760086;10;868100;0.452608;117;13;77;42;664;1011.9;21.43;17;267.34;3.516;428;13.4;11.8
233624;70B3D54998CC2DCB;2023-09-11 06:24:07;1694413447;9614;1;2FA59727876F5D029D0010560DBF0F3C0065006F;10;868300;0.452608;117;13;75.5;43;669;1011.9;21.97;16;285.09;3.519;390;11.1;10.1
233630;70B3D54998CC2DCB;2023-09-11 06:34:09;1694414049;9615;1;2FDF922787733D03C20014540DB80EC4006A008E;12;868100;1.810432;120;16;73;42;962;1011.9;22.55;20;295.01;3.512;378;14.2;10.6
233635;70B3D54998CC2DCB;2023-09-11 06:44:07;1694414647;9616;1;2FFE8E278872EE06D9001F550DB70F6400690084;10;868100;0.452608;115;4;71;42.5;1753;1012;22.86;31;294.22;3.511;394;13.2;10.5
233640;70B3D54998CC2DCB;2023-09-11 06:54:08;1694415248;9617;1;302D8C2788710503D30016530DB90F0A0054005C;10;868300;0.452608;111;0;70;41.5;979;1012;23.33;22;289.33;3.513;385;9.2;8.4
233646;70B3D54998CC2DCB;2023-09-11 07:04:09;1694415849;9618;1;303F89278971D1021D000D540DBF0E38004A0058;12;868300;1.810432;111;12;68.5;42;541;1012.1;23.51;13;291.37;3.519;364;8.8;7.4
233651;70B3D54998CC2DCB;2023-09-11 07:14:07;1694416447;9619;1;306D8727886B340483001A560DB80E380054005D;10;868300;0.452608;112;3;67.5;43;1155;1012;23.97;26;274.44;3.512;364;9.3;8.4
233657;70B3D54998CC2DCB;2023-09-11 07:24:07;1694417047;9620;1;309985278769B6044C001A550DB40E42007E00AB;10;868500;0.452608;119;11;66.5;42.5;1100;1011.9;24.41;26;270.62;3.508;365;17.1;12.6
233663;70B3D54998CC2DCB;2023-09-11 07:34:09;1694417649;9621;1;30BB8327886BA604410019540DB80CEE00520076;12;868100;1.810432;115;3;65.5;42;1089;1012;24.75;25;275.58;3.512;331;11.8;8.2
233669;70B3D54998CC2DCB;2023-09-11 07:44:07;1694418247;9622;1;30C282278871D1048A001B530DB60CD0005A00AF;10;868100;0.452608;113;5;65;41.5;1162;1012;24.82;27;291.37;3.51;328;17.5;9
233674;70B3D54998CC2DCB;2023-09-11 07:54:07;1694418847;9623;1;30E5812788718404B8001D550DB50D16005E0066;10;868100;0.452608;115;2;64.5;42.5;1208;1012;25.17;29;290.6;3.509;335;10.2;9.4
233680;70B3D54998CC2DCB;2023-09-11 08:04:08;1694419448;9624;1;31087F278971D104C1001D580DB50E2E0040004F;12;868300;1.810432;111;2;63.5;44;1217;1012.1;25.52;29;291.37;3.509;363;7.9;6.4
233686;70B3D54998CC2DCB;2023-09-11 08:14:07;1694420047;9625;1;312B7E278A732304CB001D590DB50D2000540085;10;868100;0.452608;121;13;63;44.5;1227;1012.2;25.87;29;294.75;3.509;336;13.3;8.4
233692;70B3D54998CC2DCB;2023-09-11 08:24:07;1694420647;9626;1;31497B278A76BC04D9001D560DB30D0C005E00B5;10;868100;0.452608;119;4;61.5;43;1241;1012.2;26.17;29;303.96;3.507;334;18.1;9.4
233698;70B3D54998CC2DCB;2023-09-11 08:34:08;1694421248;9627;1;315B79278A79FD0474001C540DB60D1600580063;12;868500;1.810432;120;18;60.5;42;1140;1012.2;26.35;28;312.29;3.51;335;9.9;8.8
233704;70B3D54998CC2DCB;2023-09-11 08:44:07;1694421847;9628;1;317077278B80AC04BA001D550DB30C1C006700A5;10;868300;0.452608;117;1;59.5;42.5;1210;1012.3;26.56;29;329.4;3.507;310;16.5;10.3
233709;70B3D54998CC2DCB;2023-09-11 08:54:07;1694422447;9629;1;318578278B843B0493001C580DB50D34003E004B;10;868500;0.452608;106;6;60;44;1171;1012.3;26.77;28;338.51;3.509;338;7.5;6.2
233715;70B3D54998CC2DCB;2023-09-11 09:04:08;1694423048;9630;1;31A377278A7F070482001C570DB60C80003A0063;12;868500;1.810432;106;4;59.5;43.5;1154;1012.2;27.07;28;325.19;3.51;320;9.9;5.8
233720;70B3D54998CC2DCB;2023-09-11 09:14:06;1694423646;9631;1;31C575278B7D4D0481001C540DB50D980033004C;10;868100;0.452608;117;2;58.5;42;1153;1012.3;27.41;28;320.77;3.509;348;7.6;5.1
233725;70B3D54998CC2DCB;2023-09-11 09:24:06;1694424246;9632;1;31DF72278C8328046A001C540DB30CEE0041006C;10;868300;0.452608;108;3;57;42;1130;1012.4;27.67;28;335.76;3.507;331;10.8;6.5
233731;70B3D54998CC2DCB;2023-09-11 09:34:07;1694424847;9633;1;31F172278B8BD20441001B530DB20CDA003F004B;12;868500;1.810432;117;4;57;41.5;1089;1012.3;27.85;27;357.94;3.506;329;7.5;6.3
233737;70B3D54998CC2DCB;2023-09-11 09:44:06;1694425446;9634;1;31FF6F27899008042A001B520DB50BB80036003C;10;868300;0.452608;98;8;55.5;41;1066;1012.1;27.99;27;368.72;3.509;300;6;5.4
